# ⑥ 早期警戒アラート  ほうれんそう / 東京   対象月=[7, 8, 9, 10, 11]  窓長=30日
n=76  (2011〜2026)  イベント: 価格上位1/3 / 入荷量下位1/3

## リード時間ごとの識別力（AUC。0.5=無意味, 1.0=完全）
 lead[日] |   価格hi AUC    OOS |   入荷lo AUC    OOS | ロジ係数p(価格)
      10 |       0.52   0.70 |       0.55   0.71 | 0.762
      20 |       0.54   0.70 |       0.52   0.56 | 0.723
      30 |       0.49   0.79 |       0.52   0.58 | 0.873
      40 |       0.55   0.81 |       0.52   0.54 | 0.387
      50 |       0.61   0.73 |       0.52   0.46 | 0.184
      60 |       0.65   0.68 |       0.59   0.45 | 0.097

→ 価格イベントの識別力（全期間+OOS）が最大なのは lead=40日（窓 = 対象月開始の 40〜70日前 ≒ 前月の暑さ）
  長いリードでも: lead=50日（約7週前）で 全AUC=0.61, OOS=0.73
  トレンド統制: price_hi ~ hw40_anom + year → hw40_anom 係数 p=0.239, year 係数 p=0.233

## アラート（lead=40日, 窓が暑い側1/3で発報） × 「価格が平年比で高い」
  適合率(発報が当たる率)= 35%   再現率(該当を拾えた率)= 36%   リフト= 1.05倍（基準 33%）
  混同表: TP=9 FP=17 FN=16 TN=34  （発報 26/76 回）

## アラート（lead=40日, 窓が暑い側1/3で発報） × 「入荷量が細る」
  適合率(発報が当たる率)= 31%   再現率(該当を拾えた率)= 32%   リフト= 0.94倍（基準 33%）
  混同表: TP=8 FP=18 FN=17 TN=33  （発報 26/76 回）

## 年次バックテスト（対象月=9月, lead=40日）
     年      窓の真夏日偏差   発報      価格残差   高値ｲﾍﾞﾝﾄ
  2011          6.0    ●       +1%       −
  2012         -4.5    −       -3%       −
  2013         -2.9    −       +1%       −
  2014         -5.8    −       -6%       −
  2015         -3.3    −       +7%       ●
  2016         -4.3    −      +14%       ●
  2017          5.3    ●      -17%       −
  2018          8.9    ●       -4%       −
  2019        -10.7    −       -6%       −
  2020         -9.0    −       +8%       ●
  2021         -3.4    −       -8%       −
  2022          5.8    ●      -13%       −
  2023          4.4    ●      +15%       ●
  2024          3.9    ●      +13%       ●
  2025          9.7    ●       +7%       ●
